Timestamp;Parked;Latitude;Longitude;Speed;DestinationLatitude;DestinationLongitude;EnteredGeofence
2018-05-21 07:21:32.0;NO;-114,4217;-145,2183;0;-256,832;-78,1083;NULL
2018-05-21 07:21:52.0;NO;-114,4217;-145,2183;0;-256,832;-78,1083;NULL
2018-05-21 07:22:12.0;NO;-114,5483;-145,42;7,154433;-256,832;-78,1083;NULL
2018-05-21 07:22:32.0;NO;-114,9533;-146,0833;0;-256,832;-78,1083;NULL
2018-05-21 07:22:52.0;NO;-114,995;-146,145;4,586175;-256,832;-78,1083;NULL
2018-05-21 07:23:32.0;NO;-115,315;-146,6666;0;-256,832;-78,1083;NULL
2018-05-21 07:23:52.0;NO;-116,275;-148,23;60,77469;-256,832;-78,1083;NULL
2018-05-21 07:24:12.0;NO;-118,6567;-152,075;76,1898;-256,832;-78,1083;NULL
2018-05-21 07:24:32.0;NO;-121,3267;-156,3616;92,04592;-256,832;-78,1083;NULL
2018-05-21 07:24:52.0;NO;-125,5283;-159,205;93,74141;-256,832;-78,1083;NULL
2018-05-21 07:25:12.0;NO;-129,9867;-159,785;77,36089;-256,832;-78,1083;NULL
2018-05-21 07:25:32.0;NO;-133,78;-160,2783;79,70494;-256,832;-78,1083;NULL
2018-05-21 07:26:12.0;NO;-142,5717;-161,26;91,623436;-256,832;-78,1083;NULL
2018-05-21 07:26:52.0;NO;-151,965;-161,425;94,43258;-256,832;-78,1083;NULL
2018-05-21 07:27:12.0;NO;-156,4983;-160,7716;88,58822;-256,832;-78,1083;NULL
2018-05-21 07:27:32.0;NO;-159,4133;-159,1966;29,108776;-256,832;-78,1083;NULL
2018-05-21 07:27:52.0;NO;-159,9133;-158,9616;0;-256,832;-78,1083;NULL
2018-05-21 07:28:12.0;NO;-160,0733;-158,8916;0;-256,832;-78,1083;NULL
2018-05-21 07:28:32.0;NO;-160,8883;-158,575;39,817265;-256,832;-78,1083;NULL
2018-05-21 07:28:52.0;NO;-163,9433;-157,77;77,06071;-256,832;-78,1083;NULL
2018-05-21 07:29:12.0;NO;-167,77;-157,2116;89,27383;-256,832;-78,1083;NULL
2018-05-21 07:29:32.0;NO;-172,3683;-158,0716;91,64382;-256,832;-78,1083;NULL
2018-05-21 07:30:12.0;NO;-180,145;-160,0416;65,90194;-256,832;-78,1083;NULL
2018-05-21 07:30:52.0;NO;-185,7883;-161,225;38,299656;-256,832;-78,1083;NULL
